Name,Formula,Exact_Mass_Calc,F_Count,Is_PFAS,PFAS_Structure_Class,Structure_Class,Instrument,Use_Category,CAS_or_Identifier,SMILES
mibefradil,C29H38FN3O3,495.2897203,1,No,Not PFAS,Aromatic,LC,Unknown,116644-53-2,CC(C)[C@H]1C2=C(CC[C@@]1(CCN(C)CCCC3=NC4=CC=CC=C4N3)OC(=O)COC)C=C(C=C2)F
lidoflazine,C30H35F2N3O,491.2748192,2,No,Not PFAS,Aromatic,LC,Unknown,3416-26-0,CC1=C(C(=CC=C1)C)NC(=O)CN2CCN(CC2)CCCC(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F
cerivastatin,C26H34FNO5,459.2421014,1,No,Not PFAS,Aromatic,LC,Pharmaceutical,145599-86-6,CC(C)C1=C(C(=C(C(=N1)C(C)C)COC)C2=CC=C(C=C2)F)/C=C/[C@H](C[C@H](CC(=O)O)O)O
pitavastatin,C25H24FNO4,421.1689365,1,No,Not PFAS,Aromatic,LC,Pharmaceutical,147511-69-1,C1CC1C2=NC3=CC=CC=C3C(=C2/C=C/[C@H](C[C@H](CC(=O)O)O)O)C4=CC=C(C=C4)F
laropiprant,C21H19ClFNO4S,435.070735,1,No,Not PFAS,Aromatic,LC,Unknown,571170-77-9,CS(=O)(=O)C1=CC(=CC2=C1N(C3=C2CC[C@@H]3CC(=O)O)CC4=CC=C(C=C4)Cl)F
lomitapide,C39H37F6N3O2,693.2789967,6,Yes,Other PFAS,Aromatic,LC,Unknown,182431-12-5,C1CN(CCC1NC(=O)C2=CC=CC=C2C3=CC=C(C=C3)C(F)(F)F)CCCCC4(C5=CC=CC=C5C6=CC=CC=C64)C(=O)NCC(F)(F)F
benfluorex,C19H20F3NO2,351.1446135,3,Yes,Other PFAS,Aromatic,LC,Unknown,23602-78-0,CC(CC1=CC(=CC=C1)C(F)(F)F)NCCOC(=O)C2=CC=CC=C2
flutrimazole,C22H16F2N2,346.128155,2,No,Not PFAS,Aromatic,LC,Unknown,119006-77-8,C1=CC=C(C=C1)C(C2=CC=C(C=C2)F)(C3=CC=CC=C3F)N4C=CN=C4
halometasone,C22H27ClF2O5,444.1515081,2,No,Not PFAS,Other,LC,Unknown,50629-82-8,C[C@@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C(=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C)Cl)F
difluprednate,C27H34F2O7,508.2272599,2,No,Not PFAS,Other,LC,Unknown,245-815-4,CCCC(=O)O[C@@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2C[C@@H](C4=CC(=O)C=C[C@@]43C)F)F)O)C)C(=O)COC(=O)C
fluticasone furoate,C27H29F3O6S,538.1636943,3,No,Not PFAS,Aromatic,LC,Unknown,397864-44-7,C[C@@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)SCF)OC(=O)C5=CC=CO5)C)O)F)C)F
amcinonide,C28H35FO7,502.2366817,1,No,Not PFAS,Heterocycle,LC,Unknown,51022-69-6,CC(=O)OCC(=O)[C@@]12[C@@H](C[C@@H]3[C@@]1(C[C@@H]([C@]4([C@H]3CCC5=CC(=O)C=C[C@@]54C)F)O)C)OC6(O2)CCCC6
dexamethasone propionate,C25H33FO6,448.226117,1,No,Not PFAS,Other,LC,Unknown,15423-89-9,CCC(=O)O[C@@]1([C@@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)F)O)C)C)C(=O)CO
betamethasone dipropionate,C28H37FO7,504.2523317,1,No,Not PFAS,Other,LC,Unknown,227-005-2,CCC(=O)OCC(=O)[C@]1([C@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)F)O)C)C)OC(=O)CC
dexamethasone phosphate,C22H30FO8P,472.1662328,1,No,Not PFAS,Other,LC,Unknown,312-93-6,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)COP(=O)(O)O)O)C)O)F)C
betamethasone dihydrogen phosphate,C22H30FO8P,472.1662328,1,No,Not PFAS,Other,LC,Unknown,360-63-4,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)COP(=O)(O)O)O)C)O)F)C
dexamethasone valerate,C27H37FO6,476.2574171,1,No,Not PFAS,Other,LC,Unknown,33755-46-3,CCCCC(=O)O[C@@]1([C@@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)F)O)C)C)C(=O)CO
betamethasone valerate,C27H37FO6,476.2574171,1,No,Not PFAS,Other,LC,Unknown,2152-44-5,CCCCC(=O)O[C@@]1([C@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)F)O)C)C)C(=O)CO
clobetasol propionate,C25H32ClFO5,466.19223,1,No,Not PFAS,Other,LC,Unknown,25122-46-7,CCC(=O)O[C@@]1([C@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)F)O)C)C)C(=O)CCl
clobetasone butyrate,C26H32ClFO5,478.19223,1,No,Not PFAS,Other,LC,Unknown,25122-57-0,CCCC(=O)O[C@@]1([C@H](C[C@@H]2[C@@]1(CC(=O)[C@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)F)C)C)C(=O)CCl
clocortolone pivalate,C27H36ClFO5,494.2235302,1,No,Not PFAS,Other,LC,Unknown,34097-16-0,C[C@@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@H]1C(=O)COC(=O)C(C)(C)C)C)O)Cl)C)F
dexamethasone cipecilate,C33H43FO7,570.2992819,1,No,Not PFAS,Other,LC,Unknown,132245-57-9,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)COC(=O)C5CCCCC5)OC(=O)C6CC6)C)O)F)C
dexamethasone linoleate,C40H59FO6,654.4295678,1,No,Not PFAS,Other,LC,Unknown,39026-39-6,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCC(=O)[C@]1([C@@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)F)O)C)C)O
dexamethasone metasulfobenzoate ,C29H33FO9S,576.1829319,1,No,Not PFAS,Aromatic,LC,Unknown,16978-57-7,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)COC(=O)C5=CC(=CC=C5)S(=O)(=O)O)O)C)O)F)C
dexamethasone palmitate,C38H59FO6,630.4295678,1,No,Not PFAS,Other,LC,Unknown,14899-36-6,CCCCCCCCCCCCCCCC(=O)OCC(=O)[C@]1([C@@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)F)O)C)C)O
diflucortolone valerate,C27H36F2O5,478.2530807,2,No,Not PFAS,Other,LC,Unknown,59198-70-8,CCCCC(=O)OCC(=O)[C@H]1[C@@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2C[C@@H](C4=CC(=O)C=C[C@@]43C)F)F)O)C)C
fluazacort,C25H30FNO6,459.2057159,1,No,Not PFAS,Heterocycle,LC,Unknown,19888-56-3,CC1=N[C@@]2([C@H](O1)C[C@@H]3[C@@]2(C[C@@H]([C@]4([C@H]3CCC5=CC(=O)C=C[C@@]54C)F)O)C)C(=O)COC(=O)C
fludrocortisone acetate,C23H31FO6,422.2104669,1,No,Not PFAS,Other,LC,Unknown,514-36-3,CC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)CC[C@@]43C)F)O)C)O
fludroxycortide,C24H33FO6,436.226117,1,No,Not PFAS,Heterocycle,LC,Unknown,1524-88-5,C[C@]12CCC(=O)C=C1[C@H](C[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3C[C@@H]5[C@]4(OC(O5)(C)C)C(=O)CO)C)O)F
flumethasone pivalate,C27H36F2O6,494.2479953,2,No,Not PFAS,Other,LC,Pesticide,2002-29-1,C[C@@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)COC(=O)C(C)(C)C)O)C)O)F)C)F
fluocinolone acetonide,C24H30F2O6,452.2010451,2,No,Not PFAS,Heterocycle,LC,Unknown,200-668-5,C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1C[C@@H]4[C@]2(OC(O4)(C)C)C(=O)CO)C[C@@H](C5=CC(=O)C=C[C@@]53C)F)F)O
fluocortin butyl,C26H35FO5,446.2468524,1,No,Not PFAS,Other,LC,Unknown,41767-29-7,CCCCOC(=O)C(=O)[C@H]1[C@@H](C[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2C[C@@H](C4=CC(=O)C=C[C@]34C)F)O)C)C
fluprednidene acetate,C24H29FO6,432.1948169,1,No,Not PFAS,Other,LC,Unknown,1255-35-2,CC(=O)OCC(=O)[C@]1(C(=C)C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)F)O)C)O
fluticasone propionate,C25H31F3O5S,500.1844298,3,No,Not PFAS,Other,LC,Unknown,80474-14-2,CCC(=O)O[C@@]1([C@@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2C[C@@H](C4=CC(=O)C=C[C@@]43C)F)F)O)C)C)C(=O)SCF
halcinonide,C24H32ClFO5,454.19223,1,No,Not PFAS,Heterocycle,LC,Unknown,3093-35-4,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@]2([C@H](C[C@]4([C@H]3C[C@@H]5[C@]4(OC(O5)(C)C)C(=O)CCl)C)O)F
halopredone,C21H25BrF2O5,474.0853424,2,No,Not PFAS,Other,LC,Unknown,57781-15-4,C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)C[C@H](C4=CC(=O)C(=C[C@@]43C)Br)F)F)O
triamcinolone benetonide,C35H42FNO8,623.2894455,1,No,Not PFAS,Aromatic,LC,Pharmaceutical,31002-79-6,CC(CNC(=O)C1=CC=CC=C1)C(=O)OCC(=O)[C@@]23[C@@H](C[C@@H]4[C@@]2(C[C@@H]([C@]5([C@H]4CCC6=CC(=O)C=C[C@@]65C)F)O)C)OC(O3)(C)C
flibanserin,C20H21F3N4O,390.166746,3,Yes,Other PFAS,Aromatic,LC,Unknown,167933-07-5,C1CN(CCN1CCN2C3=CC=CC=C3NC2=O)C4=CC=CC(=C4)C(F)(F)F
fluoxymesterone,C20H29FO3,336.210073,1,No,Not PFAS,Other,LC,Unknown,76-43-7,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@]2([C@H](C[C@]4([C@H]3CC[C@]4(C)O)C)O)F
dutasteride,C27H30F6N2O2,528.2211475,6,Yes,Other PFAS,Aromatic,LC,Unknown,164656-23-9,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)NC4=C(C=CC(=C4)C(F)(F)F)C(F)(F)F)CC[C@@H]5[C@@]3(C=CC(=O)N5)C
lubiprostone,C20H32F2O5,390.2217806,2,Yes,Ether acid (PFECA),Heterocycle,LC,Unknown,333963-40-9,CCCCC([C@]1(CC[C@H]2[C@H](O1)CC(=O)[C@@H]2CCCCCCC(=O)O)O)(F)F
silodosin,C25H32F3N3O4,495.2344912,3,Yes,Other PFAS,Aromatic,LC,Unknown,160970-54-7,C[C@H](CC1=CC2=C(C(=C1)C(=O)N)N(CC2)CCCO)NCCOC3=CC=CC=C3OCC(F)(F)F
elagolix,C32H30F5N3O5,631.2105622,5,Yes,Other PFAS,Aromatic,LC,Unknown,834153-87-6,CC1=C(C(=O)N(C(=O)N1CC2=C(C=CC=C2F)C(F)(F)F)C[C@@H](C3=CC=CC=C3)NCCCC(=O)O)C4=C(C(=CC=C4)OC)F
falecalcitriol,C27H38F6O3,524.2725144,6,Yes,Other PFAS,Other,LC,Unknown,83805-11-2,C[C@H](CCCC(C(F)(F)F)(C(F)(F)F)O)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](C[C@@H](C3=C)O)O)C
pefloxacin,C17H20FN3O3,333.1488697,1,No,Not PFAS,Aromatic,LC,Unknown,70458-92-3,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C)F)C(=O)O
flomoxef,C15H18F2N6O7S2,496.0646454,2,Yes,Ether acid (PFECA),Aromatic,LC,Unknown,99665-00-6,CO[C@@]1([C@@H]2N(C1=O)C(=C(CO2)CSC3=NN=NN3CCO)C(=O)O)NC(=O)CSC(F)F
lomefloxacin,C17H19F2N3O3,351.1394479,2,No,Not PFAS,Aromatic,LC,Unknown,98079-51-7,CCN1C=C(C(=O)C2=CC(=C(C(=C21)F)N3CCNC(C3)C)F)C(=O)O
tosufloxacin,C19H15F3N4O3,404.109625,3,No,Not PFAS,Aromatic,LC,Unknown,100490-36-6,C1CN(CC1N)C2=C(C=C3C(=O)C(=CN(C3=N2)C4=C(C=C(C=C4)F)F)C(=O)O)F
temafloxacin,C21H18F3N3O3,417.1300261,3,No,Not PFAS,Aromatic,LC,Unknown,108319-06-8,CC1CN(CCN1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)C4=C(C=C(C=C4)F)F)F
fleroxacin,C17H18F3N3O3,369.1300261,3,No,Not PFAS,Aromatic,LC,Unknown,79660-72-3,CN1CCN(CC1)C2=C(C=C3C(=C2F)N(C=C(C3=O)C(=O)O)CCF)F
rufloxacin,C17H18FN3O3S,363.1052907,1,No,Not PFAS,Aromatic,LC,Unknown,101363-10-4,CN1CCN(CC1)C2=C(C=C3C4=C2SCCN4C=C(C3=O)C(=O)O)F
sparfloxacin,C19H22F2N4O3,392.165997,2,No,Not PFAS,Aromatic,LC,Unknown,110871-86-8,C[C@@H]1CN(C[C@@H](N1)C)C2=C(C(=C3C(=C2F)N(C=C(C3=O)C(=O)O)C4CC4)N)F
flurithromycin,C37H66FNO13,751.4518194,1,No,Not PFAS,Heterocycle,LC,Unknown,82664-20-8,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)(C)F)C)O)(C)O
trovafloxacin,C20H15F3N4O3,416.109625,3,No,Not PFAS,Aromatic,LC,Unknown,147059-72-1,C1[C@@H]2[C@@H](C2N)CN1C3=C(C=C4C(=O)C(=CN(C4=N3)C5=C(C=C(C=C5)F)F)C(=O)O)F
balofloxacin,C20H24FN3O4,389.1750845,1,No,Not PFAS,Aromatic,LC,Unknown,127294-70-6,CNC1CCCN(C1)C2=C(C=C3C(=C2OC)N(C=C(C3=O)C(=O)O)C4CC4)F
pazufloxacin,C16H15FN2O4,318.1015852,1,No,Not PFAS,Aromatic,LC,Unknown,127045-41-4,C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2C4(CC4)N)F)C(=O)O
prulifloxacin,C21H20FN3O6S,461.1056846,1,No,Not PFAS,Aromatic,LC,Unknown,123447-62-1,CC1N2C3=CC(=C(C=C3C(=O)C(=C2S1)C(=O)O)F)N4CCN(CC4)CC5=C(OC(=O)O5)C
gemifloxacin,C18H20FN5O4,389.1499323,1,No,Not PFAS,Aromatic,LC,Unknown,175463-14-6,CO/N=C/1\CN(CC1CN)C2=C(C=C3C(=O)C(=CN(C3=N2)C4CC4)C(=O)O)F
garenoxacin,C23H20F2N2O4,426.1391136,2,Yes,Other PFAS,Aromatic,LC,Unknown,194804-75-6,C[C@@H]1C2=C(CN1)C=C(C=C2)C3=C(C4=C(C=C3)C(=O)C(=CN4C5CC5)C(=O)O)OC(F)F
sitafloxacin,C19H18ClF2N3O3,409.1004756,2,No,Not PFAS,Aromatic,LC,Unknown,127254-12-0,C1CC12CN(C[C@H]2N)C3=C(C=C4C(=C3Cl)N(C=C(C4=O)C(=O)O)[C@@H]5C[C@@H]5F)F
besifloxacin,C19H21ClFN3O3,393.1255474,1,No,Not PFAS,Aromatic,LC,Unknown,141388-76-3,C1CCN(C[C@@H](C1)N)C2=C(C=C3C(=C2Cl)N(C=C(C3=O)C(=O)O)C4CC4)F
finafloxacin,C20H19FN4O4,398.1390333,1,No,Not PFAS,Aromatic,LC,Unknown,209342-40-5,C1CC1N2C=C(C(=O)C3=CC(=C(C(=C32)C#N)N4C[C@H]5[C@H](C4)OCCN5)F)C(=O)O
tedizolid,C17H15FN6O3,370.1189666,1,No,Not PFAS,Aromatic,LC,Unknown,856866-72-3,CN1N=C(N=N1)C2=NC=C(C=C2)C3=C(C=C(C=C3)N4C[C@@H](OC4=O)CO)F
delafloxacin,C18H12ClF3N4O4,440.0499172,3,No,Not PFAS,Aromatic,LC,Unknown,189279-58-1,C1C(CN1C2=C(C=C3C(=C2Cl)N(C=C(C3=O)C(=O)O)C4=C(C=C(C(=N4)N)F)F)F)O
eravacycline,C27H31FN4O8,558.2125922,1,No,Not PFAS,Aromatic,LC,Unknown,1207283-85-9,CN(C)[C@H]1[C@@H]2C[C@@H]3CC4=C(C=C(C(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)NC(=O)CN5CCCC5)F
lascufloxacin,C21H24F3N3O4,439.1718909,3,No,Not PFAS,Aromatic,LC,Unknown,848416-07-9,COC1=C2C(=CC(=C1N3C[C@@H]([C@@H](C3)F)CNC4CC4)F)C(=O)C(=CN2CCF)C(=O)O
pretomanid,C14H12F3N3O5,359.0729051,3,Yes,Other PFAS,Aromatic,LC,Unknown,187235-37-6,C1[C@@H](COC2=NC(=CN21)[N+](=O)[O-])OCC3=CC=C(C=C3)OC(F)(F)F
florfenicol,C12H14Cl2FNO4S,357.0004625,1,No,Not PFAS,Aromatic,LC,Veterinary Medicine,73231-34-2,CS(=O)(=O)C1=CC=C(C=C1)[C@H]([C@@H](CF)NC(=O)C(Cl)Cl)O
flucloxacillin,C19H17ClFN3O5S,453.0561475,1,No,Not PFAS,Aromatic,LC,Unknown,5250-39-5,CC1=C(C(=NO1)C2=C(C=CC=C2Cl)F)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O
flumequine,C14H12FNO3,261.0801215,1,No,Not PFAS,Aromatic,LC,Pesticide,42835-25-6,CC1CCC2=C3N1C=C(C(=O)C3=CC(=C2)F)C(=O)O
grepafloxacin,C19H22FN3O3,359.1645198,1,No,Not PFAS,Aromatic,LC,Unknown,119914-60-2,CC1CN(CCN1)C2=C(C(=C3C(=C2)N(C=C(C3=O)C(=O)O)C4CC4)C)F
fosfluconazole,C13H13F2N6O4P,386.070396,2,No,Not PFAS,Aromatic,LC,Unknown,194798-83-9,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)OP(=O)(O)O
efinaconazole,C18H22F2N4O,348.1761678,2,No,Not PFAS,Aromatic,LC,Unknown,164650-44-6,C[C@H]([C@](CN1C=NC=N1)(C2=C(C=C(C=C2)F)F)O)N3CCC(=C)CC3
tavaborole,C7H6BFO2,152.0444881,1,No,Not PFAS,Aromatic,LC,Unknown,174671-46-6,B1(C2=C(CO1)C=C(C=C2)F)O
isavuconazonium sulfate,C35H36F2N8O9S2,814.2014732,2,No,Not PFAS,Aromatic,LC,Unknown,946075-13-4,C[C@@H](C1=NC(=CS1)C2=CC=C(C=C2)C#N)[C@](CN3C=[N+](C=N3)C(C)OC(=O)N(C)C4=C(C=CC=N4)COC(=O)CNC)(C5=C(C=CC(=C5)F)F)O.OS(=O)(=O)[O-]
fosravuconazole,C23H20F2N5O5PS,547.0890828,2,No,Not PFAS,Aromatic,LC,Unknown,351227-64-0,C[C@@H](C1=NC(=CS1)C2=CC=C(C=C2)C#N)[C@](CN3C=NC=N3)(C4=C(C=C(C=C4)F)F)OCOP(=O)(O)O
delamanid,C25H25F3N4O6,534.1726192,3,Yes,Other PFAS,Aromatic,LC,Unknown,681492-22-8,C[C@@]1(CN2C=C(N=C2O1)[N+](=O)[O-])COC3=CC=C(C=C3)N4CCC(CC4)OC5=CC=C(C=C5)OC(F)(F)F
clevudine,C10H13FN2O5,260.0808497,1,No,Not PFAS,Aromatic,LC,Unknown,163252-36-6,CC1=CN(C(=O)NC1=O)[C@@H]2[C@@H]([C@H]([C@@H](O2)CO)O)F
elvitegravir,C23H23ClFNO5,447.1248787,1,No,Not PFAS,Aromatic,LC,Unknown,697761-98-1,CC(C)[C@@H](CO)N1C=C(C(=O)C2=C1C=C(C(=C2)CC3=C(C(=CC=C3)Cl)F)OC)C(=O)O
dolutegravir,C20H19F2N3O5,419.1292771,2,No,Not PFAS,Aromatic,LC,Unknown,1051375-16-6,C[C@@H]1CCO[C@@H]2N1C(=O)C3=C(C(=O)C(=CN3C2)C(=O)NCC4=C(C=C(C=C4)F)F)O
sofosbuvir,C22H29FN3O9P,529.1625444,1,No,Not PFAS,Aromatic,LC,Unknown,1190307-88-0,C[C@@H](C(=O)OC(C)C)N[P@](=O)(OC[C@@H]1[C@H]([C@@]([C@@H](O1)N2C=CC(=O)NC2=O)(C)F)O)OC3=CC=CC=C3
favipiravir,C5H4FN3O2,157.0287546,1,No,Not PFAS,Aromatic,LC,Unknown,259793-96-9,C1=C(N=C(C(=O)N1)C(=O)N)F
ledipasvir,C49H54F2N8O6,888.4134379,2,Yes,Other PFAS,Aromatic,LC,Unknown,1256388-51-8,CC(C)[C@@H](C(=O)N1CC2(CC2)C[C@H]1C3=NC=C(N3)C4=CC5=C(C=C4)C6=C(C5(F)F)C=C(C=C6)C7=CC8=C(C=C7)N=C(N8)[C@@H]9[C@H]1CC[C@H](C1)N9C(=O)[C@H](C(C)C)NC(=O)OC)NC(=O)OC
glecaprevir,C38H46F4N6O9S,838.2983109,4,Yes,Sulfonamide,Aromatic,LC,Unknown,1365970-03-1,CC1(CC1)S(=O)(=O)NC(=O)[C@]2(C[C@H]2C(F)F)NC(=O)[C@@H]3C[C@@H]4CN3C(=O)[C@@H](NC(=O)O[C@@H]5CCC[C@H]5OC/C=C/C(C6=NC7=CC=CC=C7N=C6O4)(F)F)C(C)(C)C
letermovir,C29H28F4N4O4,572.2046683,4,Yes,Other PFAS,Aromatic,LC,Unknown,917389-32-3,COC1=C(C=C(C=C1)C(F)(F)F)N2[C@H](C3=C(C(=CC=C3)F)N=C2N4CCN(CC4)C5=CC(=CC=C5)OC)CC(=O)O
pibrentasvir,C57H65F5N10O8,1112.4907,5,No,Not PFAS,Aromatic,LC,Unknown,1353900-92-1,C[C@H]([C@@H](C(=O)N1CCC[C@H]1C2=NC3=C(N2)C=C(C(=C3)F)[C@H]4CC[C@@H](N4C5=CC(=C(C(=C5)F)N6CCC(CC6)C7=CC=C(C=C7)F)F)C8=CC9=C(C=C8F)N=C(N9)[C@@H]1CCCN1C(=O)[C@H]([C@@H](C)OC)NC(=O)OC)NC(=O)OC)OC
baloxavir marboxil,C27H23F2N3O7S,571.1224775,2,No,Not PFAS,Aromatic,LC,Unknown,1985606-14-1,COC(=O)OCOC1=C2C(=O)N3CCOC[C@H]3N(N2C=CC1=O)[C@H]4C5=C(CSC6=CC=CC=C46)C(=C(C=C5)F)F
bictegravir,C21H18F3N3O5,449.1198553,3,No,Not PFAS,Aromatic,LC,Unknown,1611493-60-7,C1C[C@@H]2C[C@H]1N3[C@H](O2)CN4C=C(C(=O)C(=C4C3=O)O)C(=O)NCC5=C(C=C(C=C5F)F)F
doravirine,C17H11ClF3N5O3,425.0502516,3,Yes,Other PFAS,Aromatic,LC,Unknown,1338225-97-0,CN1C(=NNC1=O)CN2C=CC(=C(C2=O)OC3=CC(=CC(=C3)C#N)Cl)C(F)(F)F
tecovirimat,C19H15F3N2O3,376.103477,3,Yes,Other PFAS,Aromatic,LC,Unknown,869572-92-9,C1[C@@H]2[C@H]1[C@@H]3C=C[C@H]2[C@@H]4[C@H]3C(=O)N(C4=O)NC(=O)C5=CC=C(C=C5)C(F)(F)F
voxilaprevir,C40H52F4N6O9S,868.3452611,4,Yes,Sulfonamide,Aromatic,LC,Unknown,1535212-07-7,CC[C@@H]1[C@@H]2CN([C@@H]1C(=O)N[C@@]3(C[C@H]3C(F)F)C(=O)NS(=O)(=O)C4(CC4)C)C(=O)[C@@H](NC(=O)O[C@@H]5C[C@H]5CCCCC(C6=NC7=C(C=C(C=C7)OC)N=C6O2)(F)F)C(C)(C)C
nilutamide,C12H10F3N3O4,317.0623405,3,Yes,Other PFAS,Aromatic,LC,Unknown,63612-50-0,CC1(C(=O)N(C(=O)N1)C2=CC(=C(C=C2)[N+](=O)[O-])C(F)(F)F)C
fludarabine,C10H12FN5O4,285.0873321,1,No,Not PFAS,Aromatic,LC,Unknown,21679-14-1,C1=NC2=C(N=C(N=C2N1[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)O)F)N
valrubicin,C34H36F3NO13,723.2138749,3,Yes,Other PFAS,Aromatic,LC,Unknown,56124-62-0,CCCCC(=O)OCC(=O)[C@]1(C[C@@H](C2=C(C1)C(=C3C(=C2O)C(=O)C4=C(C3=O)C=CC=C4OC)O)O[C@H]5C[C@@H]([C@@H]([C@@H](O5)C)O)NC(=O)C(F)(F)F)O
gefitinib,C22H24ClFN4O3,446.1520965,1,No,Not PFAS,Aromatic,LC,Unknown,184475-35-2,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4
clofarabine,C10H11ClFN5O3,303.0534451,1,No,Not PFAS,Aromatic,LC,Unknown,123318-82-1,C1=NC2=C(N=C(N=C2N1[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)F)Cl)N
vinflunine,C45H54F2N4O8,816.3909711,2,Yes,Other PFAS,Aromatic,LC,Unknown,162652-95-1,CC[C@@]12C=CCN3[C@@H]1[C@]4(CC3)[C@H]([C@]([C@@H]2OC(=O)C)(C(=O)OC)O)N(C5=CC(=C(C=C45)[C@]6(C[C@@H]7C[C@H](CN(C7)CC8=C6NC9=CC=CC=C89)C(C)(F)F)C(=O)OC)OC)C
crizotinib,C21H22Cl2FN5O,449.1185439,1,No,Not PFAS,Aromatic,LC,Unknown,877399-52-5,C[C@H](C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N
vandetanib,C22H24BrFN4O2,474.1066663,1,No,Not PFAS,Aromatic,LC,Unknown,443913-73-3,CN1CCC(CC1)COC2=C(C=C3C(=C2)N=CN=C3NC4=C(C=C(C=C4)Br)F)OC
vemurafenib,C23H18ClF2N3O3S,489.0725466,2,No,Not PFAS,Aromatic,LC,Unknown,918504-65-1,CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)Cl)F
cabozantinib,C28H24FN3O5,501.1699991,1,No,Not PFAS,Aromatic,LC,Unknown,849217-68-1,COC1=CC2=C(C=CN=C2C=C1OC)OC3=CC=C(C=C3)NC(=O)C4(CC4)C(=O)NC5=CC=C(C=C5)F
